FILE,APOGEE_ID,TEFF,LOGG,PARAM_M_H,PARAM_ALPHA_M,AL_H,CA_H,C_H,FE_H,K_H,MG_H,MN_H,NA_H,NI_H,N_H,O_H,SI_H,S_H,TI_H,V_H,col1,2mass
apStar-r5-2M00003119+1516179.fits,2M00003119+1516179,4907.467,2.6594262,-0.42690688,0.10845319,-0.16359201,-0.44335666,-0.442585,-0.36317992,-0.4515751,-0.32043132,-0.36930367,-0.5761716,-0.41796222,-0.337614,-0.25095576,-0.084505975,-0.20872352,-0.41411078,-1.2993358,aspcapStar-r5-v603-2M00003119+1516179.fits,2M00003119+1516179
apStar-r5-2M00004994+1621552.fits,2M00004994+1621552,4705.151,2.5830097,0.09523745,0.04895284,0.1504575,-0.03000946,0.029849,0.047835767,-0.087527975,0.008361369,0.16033955,-0.013520581,0.026304115,0.21966301,0.083043665,0.1797468,0.24638371,0.036688637,-0.062290426,aspcapStar-r5-v603-2M00004994+1621552.fits,2M00004994+1621552
apStar-r5-2M00005271+1509401.fits,2M00005271+1509401,4581.369,2.451163,0.16262826,0.025897747,0.21335337,0.007903375,0.006379999,0.10262913,-0.040836785,0.08456992,0.24940176,0.18752564,0.0775158,0.44382,0.124810204,0.28048235,0.19791584,0.10996797,0.0069696195,aspcapStar-r5-v603-2M00005271+1509401.fits,2M00005271+1509401
apStar-r5-2M00010132+0031530.fits,2M00010132+0031530,4780.9946,2.8360963,-0.20557378,0.22591066,0.1399003,-0.06779632,-0.06454,-0.19612399,-0.14443554,0.078677595,-0.2638368,-0.018486084,-0.24225385,-0.117070004,-0.004232809,0.18557712,0.117758095,-0.116622195,-1.3078113,aspcapStar-r5-v603-2M00010132+0031530.fits,2M00010132+0031530
apStar-r5-2M00010331+1549325.fits,2M00010331+1549325,5955.423,3.9396935,-0.27675706,0.09076967,-0.3999555,-0.25373173,0.20194,-0.23733658,-0.37785938,-0.21702646,-0.20564628,-0.014361212,-0.31438607,-0.10766001,-0.20910674,-0.12982279,0.16984215,0.14035726,-0.6240166,aspcapStar-r5-v603-2M00010331+1549325.fits,2M00010331+1549325
apStar-r5-2M00012224+0034037.fits,2M00012224+0034037,4721.097,2.366649,-0.6147311,0.111221,-0.30742025,-0.42038783,-0.503826,-0.51931065,-1.5362874,-0.4304819,-0.6526693,-0.6425332,-0.5814286,-0.632658,-0.33869046,-0.24516752,-0.40385646,-0.683185,-1.9572557,aspcapStar-r5-v603-2M00012224+0034037.fits,2M00012224+0034037
apStar-r5-2M00013385+1532433.fits,2M00013385+1532433,4952.415,3.0838223,-0.44166794,0.08364563,-0.26023796,-0.3894395,-0.4081479,-0.3584936,-0.49627012,-0.23661794,-0.39588666,-0.57785225,-0.43529055,-0.315822,-0.29265025,-0.14199948,-0.24847159,-0.45085615,-1.6603482,aspcapStar-r5-v603-2M00013385+1532433.fits,2M00013385+1532433
apStar-r5-2M00013901+1658396.fits,2M00013901+1658396,4781.991,2.6911333,0.14447609,0.009924399,0.15424606,-0.025818035,-0.026103996,0.08339935,-0.10449976,0.024970207,0.19771892,0.05996356,0.07922835,0.302366,0.07383909,0.20184767,0.17737429,0.024546023,-0.05538314,aspcapStar-r5-v603-2M00013901+1658396.fits,2M00013901+1658396
apStar-r5-2M00014230+1702419.fits,2M00014230+1702419,4753.786,2.6107252,-0.5203843,0.084938675,-0.34362912,-0.4480695,-0.421582,-0.4317351,-0.5746456,-0.40476102,-0.4986924,-0.5446418,-0.5288347,-0.536427,-0.30920643,-0.34552774,-0.2541087,-0.5200316,-1.4095465,aspcapStar-r5-v603-2M00014230+1702419.fits,2M00014230+1702419
apStar-r5-2M00020976+1601393.fits,2M00020976+1601393,4212.0186,0.40333283,-2.1530766,0.23560539,-2.1573675,-1.7408665,-2.64511,-1.872284,-1.4468756,-1.9947941,-2.11881,-1.2849454,-1.8232626,-1.18168,-1.5744156,-1.5725708,-1.5519785,-1.8897877,-2.290524,aspcapStar-r5-v603-2M00020976+1601393.fits,2M00020976+1601393
apStar-r5-2M00022406+1625382.fits,2M00022406+1625382,4821.557,2.618595,-0.27240527,0.065168105,-0.073321044,-0.31689182,-0.336922,-0.24567121,-0.318812,-0.23601,-0.18949494,-0.22999762,-0.27843875,-0.12088001,-0.16759762,-0.029176801,-0.09081671,-0.3262743,-0.5820429,aspcapStar-r5-v603-2M00022406+1625382.fits,2M00022406+1625382
apStar-r5-2M00022429+1654504.fits,2M00022429+1654504,4786.2764,2.6285176,-0.0026927963,0.07054677,0.06345585,-0.11228747,-0.0443663,-0.02906565,-0.15277287,-0.043495193,0.05172437,-0.10956064,-0.040427595,0.13523501,0.0078080557,0.17155099,0.107306056,-0.03207051,-0.10922258,aspcapStar-r5-v603-2M00022429+1654504.fits,2M00022429+1654504
apStar-r5-2M00025331+1642008.fits,2M00025331+1642008,4920.2236,3.1740394,-0.36023808,0.070846915,-0.1708162,-0.36120275,-0.27270103,-0.32996148,-0.27871904,-0.25300258,-0.3106508,-0.4232132,-0.35293242,-0.413764,-0.22774787,-0.13047308,-0.18210927,-0.41636556,-1.6855689,aspcapStar-r5-v603-2M00025331+1642008.fits,2M00025331+1642008
apStar-r5-2M00031193+1636284.fits,2M00031193+1636284,4536.0225,2.2594378,-0.5644066,0.22572114,-0.188719,-0.43961328,-0.40802598,-0.5151693,-0.47119012,-0.3619917,-0.58937746,-0.648054,-0.5210736,-0.44938397,-0.24311444,-0.23177236,-0.17885718,-0.49013716,-0.79446524,aspcapStar-r5-v603-2M00031193+1636284.fits,2M00031193+1636284
apStar-r5-2M00032847+1505133.fits,2M00032847+1505133,4321.448,1.8388054,-0.5235347,0.24351403,-0.1142624,-0.31150496,-0.375567,-0.46929646,-0.37331817,-0.26718748,-0.51051426,-0.519324,-0.47208488,-0.4479948,-0.1646755,-0.10809523,-0.10711712,-0.3709411,-0.5794872,aspcapStar-r5-v603-2M00032847+1505133.fits,2M00032847+1505133
apStar-r5-2M00034743+1546087.fits,2M00034743+1546087,4993.277,3.2604926,-0.012192514,0.05558148,0.0012734514,-0.09910662,-0.19007699,-7.4319355E-4,-0.1803228,-0.043551024,0.045970947,-0.058451552,-0.046946142,0.081873,0.062937796,0.18581578,0.08647865,-0.08301453,-0.18682654,aspcapStar-r5-v603-2M00034743+1546087.fits,2M00034743+1546087
apStar-r5-2M00041376+1544197.fits,2M00041376+1544197,5033.5405,2.6875978,-0.658518,0.26578256,-0.3050926,-0.5257495,-0.48566,-0.569058,-0.512803,-0.37222847,-0.66778284,-0.7313593,-0.6128702,-0.5844534,-0.27757582,-0.122617304,-0.28492123,-0.42478424,-1.3492314,aspcapStar-r5-v603-2M00041376+1544197.fits,2M00041376+1544197
apStar-r5-2M00042401+1559389.fits,2M00042401+1559389,4777.5063,2.700828,-0.31882584,0.07264284,-0.110699885,-0.32309586,-0.31279102,-0.26447773,-0.2824258,-0.22029853,-0.27898672,-0.32506636,-0.3606586,-0.25607702,-0.20481464,-0.035824776,-0.099522516,-0.32179493,-1.3143312,aspcapStar-r5-v603-2M00042401+1559389.fits,2M00042401+1559389
apStar-r5-2M00043646+1617516.fits,2M00043646+1617516,4761.56,2.6094704,0.13129586,0.042995673,0.19181786,-9.2847645E-4,0.044193998,0.09607065,-0.046458393,0.030832753,0.2250121,-0.0039312686,0.08417314,0.27219498,0.09445047,0.26698154,0.19991967,0.072232716,0.045190085,aspcapStar-r5-v603-2M00043646+1617516.fits,2M00043646+1617516
apStar-r5-2M00050856+0106362.fits,2M00050856+0106362,4572.3003,2.171274,-0.93259805,0.28017846,-0.52556306,-0.6745324,-0.45564002,-0.8138545,-0.71347344,-0.6414196,-0.92218,-0.5379102,-0.7689424,-0.40125,-0.51423633,-0.39299455,-0.3954048,-0.7449999,-1.0967983,aspcapStar-r5-v603-2M00050856+0106362.fits,2M00050856+0106362
apStar-r5-2M00053243+0056031.fits,2M00053243+0056031,4439.051,2.323308,0.071230955,0.12867184,0.24217798,-0.023584805,0.105804995,0.023230992,-0.010673229,0.10442019,0.10468811,0.07547377,0.005083319,0.24520001,0.17628554,0.21998882,0.25673366,0.101008646,-0.11933012,aspcapStar-r5-v603-2M00053243+0056031.fits,2M00053243+0056031
apStar-r5-2M00062969+0103446.fits,2M00062969+0103446,4817.172,2.7620752,-0.40137786,0.24840514,-0.016124405,-0.2888915,-0.276342,-0.36075476,-0.33866346,-0.18446538,-0.42185998,-0.28691047,-0.30356523,-0.271252,-0.06546399,-0.019297183,-0.043013483,-0.22952801,-0.32826212,aspcapStar-r5-v603-2M00062969+0103446.fits,2M00062969+0103446
apStar-r5-2M00075209+0103028.fits,2M00075209+0103028,4753.5874,2.7964056,-0.42282626,0.2698421,4.778332E-4,-0.14308177,-0.28377798,-0.38473615,-0.26444468,-0.1586241,-0.40717348,-0.38821197,-0.3076695,-0.34184498,-0.08613497,-0.07771781,-0.112796724,-0.14573695,-1.2693818,aspcapStar-r5-v603-2M00075209+0103028.fits,2M00075209+0103028
apStar-r5-2M00213128+5742371.fits,2M00213128+5742371,4226.9683,1.2558739,-0.24737987,0.043031603,-0.268671,-0.29300925,-0.126142,-0.24031372,-0.4070788,-0.22430095,-0.22049445,-0.40378565,-0.25856954,-0.047289997,-0.15204051,-0.07981269,-0.07464585,-0.28987253,-0.46459734,aspcapStar-r5-v603-2M00213128+5742371.fits,2M00213128+5742371
apStar-r5-2M00213326+5453194.fits,2M00213326+5453194,5093.438,3.0119681,-0.022891007,9.142123E-4,0.058392935,-0.22201401,-0.190932,-0.052910395,-0.15113115,-0.12849799,0.049374625,0.2105098,-0.06640552,0.11238799,-0.044130236,0.13362536,0.041251354,-0.17503545,-0.022526875,aspcapStar-r5-v603-2M00213326+5453194.fits,2M00213326+5453194
apStar-r5-2M00215847+5735565.fits,2M00215847+5735565,4045.0828,1.0421361,-0.5542491,0.069981165,-0.3217433,-0.45503262,-0.530235,-0.48496532,-0.57253504,-0.46138692,-0.5486044,-0.4956043,-0.51093704,-0.26723,-0.33115053,-0.27215183,-0.320988,-0.56782585,-0.5718402,aspcapStar-r5-v603-2M00215847+5735565.fits,2M00215847+5735565
apStar-r5-2M00220127+5411454.fits,2M00220127+5411454,4246.6016,1.5378162,-0.3289698,0.076760165,-0.12746944,-0.24293084,-0.319169,-0.28841335,-0.39499682,-0.14878811,-0.36333227,-0.28406283,-0.3517627,-0.12774001,-0.17186522,-0.010808051,-0.13893437,-0.3330688,-0.36340833,aspcapStar-r5-v603-2M00220127+5411454.fits,2M00220127+5411454
apStar-r5-2M00221242+5449143.fits,2M00221242+5449143,4824.6465,2.3787384,-0.09223741,0.027368749,0.22961484,0.042992182,-0.06752901,-0.06624563,-0.34107006,-0.15276182,-0.16671725,-0.0483646,-0.22028369,-0.21668,-0.03665393,0.27391687,-0.11751236,-0.124487445,-1.6627538,aspcapStar-r5-v603-2M00221242+5449143.fits,2M00221242+5449143
apStar-r5-2M00221996+5407397.fits,2M00221996+5407397,4980.3203,2.6988893,-0.17671758,0.056548163,0.2751335,-0.0399684,-0.05933,-0.115973756,-0.54394805,0.12181908,-0.34269714,0.20057599,-0.2504628,-0.43081,-0.124841675,0.18881571,-0.33256665,-0.40359426,-2.113089,aspcapStar-r5-v603-2M00221996+5407397.fits,2M00221996+5407397
apStar-r5-2M00222361+5410588.fits,2M00222361+5410588,4533.0327,1.9781799,-0.2821851,0.07796029,-0.08669129,-0.22734718,-0.338825,-0.2444854,-0.38854748,-0.18713154,-0.2970046,-0.2986359,-0.30323616,-0.070820004,-0.12982288,0.105156004,-0.20737672,-0.380144,-0.50083655,aspcapStar-r5-v603-2M00222361+5410588.fits,2M00222361+5410588
apStar-r5-2M00222495+5505279.fits,2M00222495+5505279,4321.249,1.661109,-0.21751651,0.06670343,-0.12868156,-0.24424124,-0.096993,-0.21648754,-0.3062173,-0.20296805,-0.16859548,-0.2535441,-0.24113977,0.18443,-0.119220085,-0.05862938,-0.03354515,-0.25500357,-0.46416274,aspcapStar-r5-v603-2M00222495+5505279.fits,2M00222495+5505279
apStar-r5-2M00224074+5400508.fits,2M00224074+5400508,4823.5503,2.5560932,-0.17866361,0.070883,0.05159349,-0.22504823,-0.206679,-0.15090053,-0.3469904,-0.10723848,-0.20036353,0.0035186855,-0.23192032,-0.09964,-0.08833801,0.124374285,-0.012636349,-0.28927988,-1.3650486,aspcapStar-r5-v603-2M00224074+5400508.fits,2M00224074+5400508
apStar-r5-2M00224682+5535581.fits,2M00224682+5535581,5030.551,2.8955188,-0.15633002,0.073435724,-0.35075992,-0.15995337,-0.30758,-0.15415406,-0.27893034,-0.20264931,-0.08950996,-0.03432723,-0.15745288,0.035550013,-0.104136266,0.08780107,0.09338823,-0.2132889,-0.07221261,aspcapStar-r5-v603-2M00224682+5535581.fits,2M00224682+5535581
