id,teff,logg,feh,alpha
spec-56199-EG000313N173308V_1_sp01-229.fits,4907.47,2.65943,-0.36318,0.108453
spec-56199-EG000313N173308V_1_sp05-086.fits,4705.15,2.58301,0.0478358,0.0489528
spec-56199-EG000313N173308V_1_sp01-243.fits,4581.37,2.45116,0.102629,0.0258977
spec-56213-EG000023N024031B01_sp01-089.fits,4780.99,2.8361,-0.196124,0.225911
spec-56199-EG000313N173308V_1_sp01-065.fits,5955.42,3.93969,-0.237337,0.0907697
spec-56213-EG000023N024031B01_sp01-100.fits,4721.1,2.36665,-0.519311,0.111221
spec-56213-EG000023N024031B01_sp01-016.fits,4764.65,2.56499,-0.624972,0.294422
spec-56199-EG000313N173308V_1_sp01-046.fits,4952.42,3.08382,-0.358494,0.0836456
spec-56199-EG000313N173308V_2_sp04-141.fits,4781.99,2.69113,0.0833993,0.0099244
spec-56199-EG000313N173308V_1_sp04-135.fits,4753.79,2.61073,-0.431735,0.0849387
spec-56199-EG000313N173308V_1_sp01-157.fits,4212.02,0.403333,-1.87228,0.235605
spec-56199-EG000313N173308V_1_sp05-034.fits,4821.56,2.61859,-0.245671,0.0651681
spec-56199-EG000313N173308V_1_sp05-175.fits,4786.28,2.62852,-0.0290656,0.0705468
spec-56199-EG000313N173308V_1_sp05-155.fits,4920.22,3.17404,-0.329961,0.0708469
spec-56199-EG000313N173308V_1_sp05-111.fits,4536.02,2.25944,-0.515169,0.225721
spec-56199-EG000313N173308V_1_sp01-016.fits,4321.45,1.83881,-0.469296,0.243514
spec-56199-EG000313N173308V_1_sp01-128.fits,4993.28,3.26049,-0.000743194,0.0555815
spec-56199-EG000313N173308V_1_sp01-132.fits,5033.54,2.6876,-0.569058,0.265783
spec-56199-EG000313N173308V_2_sp07-032.fits,4777.51,2.70083,-0.264478,0.0726428
spec-56199-EG000313N173308V_1_sp08-177.fits,4761.56,2.60947,0.0960706,0.0429957
spec-56213-EG000023N024031B01_sp07-228.fits,4957.4,2.99361,-0.100857,0.149467
spec-56213-EG000023N024031B01_sp07-119.fits,4572.3,2.17127,-0.813855,0.280178
spec-56213-EG000023N024031B01_sp07-064.fits,4561.14,1.69453,-1.33349,0.140635
spec-56213-EG000023N024031B01_sp07-201.fits,4439.05,2.32331,0.023231,0.128672
spec-56213-EG000023N024031B01_sp07-075.fits,4817.17,2.76208,-0.360755,0.248405
spec-56213-EG000023N024031B01_sp07-098.fits,4753.59,2.79641,-0.384736,0.269842
spec-56592-HD003103N554209V01_sp16-235.fits,4226.97,1.25587,-0.240314,0.0430316
spec-56592-HD003103N554209V01_sp10-206.fits,5093.44,3.01197,-0.0529104,0.000914212
spec-56592-HD003103N554209B01_sp16-243.fits,4045.08,1.04214,-0.484965,0.0699812
spec-56592-HD003103N554209V01_sp02-039.fits,4246.6,1.53782,-0.288413,0.0767602
spec-56592-HD003103N554209V01_sp10-151.fits,4824.65,2.37874,-0.0662456,0.0273687
spec-56592-HD003103N554209B01_sp02-038.fits,4980.32,2.69889,-0.115974,0.0565482
spec-56592-HD003103N554209V01_sp02-026.fits,4533.03,1.97818,-0.244485,0.0779603
spec-56592-HD003103N554209V01_sp03-232.fits,4321.25,1.66111,-0.216488,0.0667034
spec-56592-HD003103N554209B01_sp03-085.fits,4915.44,2.742,-0.137557,0.101071
spec-56592-HD003103N554209V01_sp02-142.fits,4823.55,2.55609,-0.150901,0.070883
spec-56592-HD003103N554209V01_sp03-087.fits,5030.55,2.89552,-0.154154,0.0734357
spec-56592-HD003103N554209V01_sp02-141.fits,4182.52,1.40323,-0.230712,0.0468451
spec-56592-HD003103N554209V01_sp16-246.fits,4867.4,2.6592,-0.105605,0.0474017
spec-56592-HD003103N554209B01_sp16-246.fits,5002.74,2.77827,0.0421366,0.033596
spec-56592-HD003103N554209B01_sp03-247.fits,4764.85,2.82412,-0.0668047,0.0900609
spec-56592-HD003103N554209V01_sp02-145.fits,4775.71,2.49758,-0.00513238,0.0615035
spec-56592-HD003103N554209B01_sp16-248.fits,4519.88,2.01958,-0.194776,0.0759354
spec-56592-HD003103N554209V01_sp03-247.fits,4516.59,2.46622,0.323461,0.0703092
spec-56592-HD003103N554209B01_sp03-181.fits,4843.88,2.95232,-0.00978033,0.0836391
spec-56592-HD003103N554209V01_sp03-171.fits,5001.95,3.06363,-0.228093,0.0601256
spec-56592-HD003103N554209B01_sp16-140.fits,4707.44,2.55415,0.0626831,0.0648241
spec-56592-HD003103N554209B01_sp03-171.fits,4965.97,2.81944,-0.252581,0.0851327
spec-56592-HD003103N554209V01_sp03-168.fits,4829.03,2.67026,-0.0180681,0.0665957
spec-56592-HD003103N554209B01_sp03-168.fits,4976.93,2.83176,-0.188322,0.125565
spec-56592-HD003103N554209V01_sp02-245.fits,4511.01,2.27906,-0.141799,0.14317
spec-56592-HD003103N554209V01_sp02-148.fits,4862.12,2.55974,-0.273528,0.111196
spec-56592-HD003103N554209V01_sp05-193.fits,4850.66,2.63593,0.0409,0.0474812
spec-56592-HD003103N554209V01_sp03-030.fits,4782.69,2.65076,0.16209,0.0292582
spec-56592-HD003103N554209V01_sp03-050.fits,4901.29,2.81249,-0.0361311,0.0217599
spec-56592-HD003103N554209V01_sp05-198.fits,5051.78,2.70003,-0.637325,0.182864
spec-56592-HD003103N554209B01_sp02-249.fits,4830.23,2.55758,-0.16427,0.0807423
spec-56592-HD003103N554209B01_sp05-231.fits,4726.68,2.39585,0.214749,0.0630215
spec-56592-HD003103N554209V01_sp02-228.fits,4803.62,2.46736,0.120092,0.057785
spec-56592-HD003103N554209V01_sp05-184.fits,4635.89,2.47375,-0.0279831,0.184681
spec-56592-HD003103N554209V01_sp05-237.fits,4740.83,2.44717,-0.0861987,0.168814
spec-56592-HD003103N554209V01_sp16-104.fits,4826.24,2.53978,-0.147891,0.0849615
spec-56592-HD003103N554209V01_sp02-002.fits,4331.61,1.76433,-0.00762595,0.0612961
spec-56592-HD003103N554209V01_sp05-240.fits,4770.23,2.44649,-0.176562,0.0743618
spec-56592-HD003103N554209V01_sp03-214.fits,4693.29,2.51469,-0.193845,0.0690843
spec-56592-HD003103N554209V01_sp05-248.fits,4605.49,2.47671,-9999.0,0.0170141
spec-56592-HD003103N554209B01_sp16-117.fits,4928.79,2.81226,-0.0185544,0.0454163
spec-56592-HD003103N554209B01_sp11-175.fits,4980.92,2.86279,-0.237291,0.0831939
spec-56592-HD003103N554209B01_sp02-019.fits,4873.88,2.60616,-0.329525,0.226435
spec-56592-HD003103N554209V01_sp03-129.fits,5237.65,3.14997,-0.111202,0.0132013
spec-56592-HD003103N554209V01_sp05-219.fits,4061.43,1.10213,-0.205588,0.0124165
spec-56592-HD003103N554209B01_sp03-009.fits,5006.23,3.24589,-0.0165016,0.0987478
spec-56592-HD003103N554209B01_sp05-064.fits,4904.08,3.00524,-0.160578,0.0924472
spec-56592-HD003103N554209V01_sp11-002.fits,4783.69,2.60628,0.343415,-0.0023898
spec-56592-HD003103N554209B01_sp16-101.fits,4848.96,2.60662,-0.0223431,0.0698857
spec-56592-HD003103N554209B01_sp02-059.fits,4803.92,2.65806,-0.487931,0.143933
spec-56592-HD003103N554209B01_sp11-163.fits,4841.79,2.53773,-1.21811,0.176565
spec-56592-HD003103N554209V01_sp02-104.fits,5049.39,3.27498,-0.232478,0.190277
spec-56592-HD003103N554209V01_sp02-020.fits,4913.45,3.23768,0.108136,0.0541339
spec-56592-HD003103N554209V01_sp02-005.fits,5087.06,3.05519,-0.0708936,0.0356193
spec-56592-HD003103N554209V01_sp05-232.fits,4097.41,1.34563,-0.102857,0.000629412
spec-56592-HD003103N554209V01_sp02-070.fits,4564.03,2.09543,-0.205204,0.0694015
spec-56592-HD003103N554209B01_sp05-246.fits,4749.3,2.68395,-0.0843772,0.0497299
spec-56592-HD003103N554209B01_sp03-199.fits,5010.02,3.19491,-0.222374,0.129803
spec-56592-HD003103N554209V01_sp01-240.fits,4055.25,1.34643,-0.029175,0.0260602
spec-56592-HD003103N554209B01_sp05-216.fits,5235.96,3.5267,-0.437806,0.250139
spec-56592-HD003103N554209B01_sp04-025.fits,4755.98,2.56704,-0.518393,0.119199
spec-56592-HD003103N554209V01_sp05-230.fits,4582.86,2.19078,-0.0745798,0.0509687
spec-56592-HD003103N554209V01_sp05-246.fits,4821.06,2.68418,0.133941,0.0449221
spec-56592-HD003103N554209V01_sp05-205.fits,4647.45,2.35661,-0.161481,0.0518657
spec-56592-HD003103N554209V01_sp05-236.fits,4841.99,2.81397,-0.0259855,0.037862
spec-56592-HD003103N554209V01_sp04-152.fits,4934.77,3.19012,0.109541,0.031421
spec-56592-HD003103N554209B01_sp11-089.fits,4418.52,2.00761,-0.529125,0.235706
spec-56592-HD003103N554209B01_sp05-207.fits,4793.25,2.52553,-0.512043,0.230834
spec-56592-HD003103N554209V01_sp05-059.fits,4003.82,0.885197,-0.448187,0.0662261
spec-56592-HD003103N554209B01_sp02-053.fits,4781.39,2.43394,-0.104582,0.113912
